site_name;site_id;X;Y
Киевская;875;4181833.272;7507734.723
Кунцевская;164;4168604.797;7504623.251
Кутузовская;1552;4178289.528;7506820.232
Мичуринский проспект;2540;4172583.214;7496736.704
Озёрная;480;4168916.163;7493175.25
Парк Победы;1549;4176340.124;7506202.354
Проспект Вернадского;277;4175215.474;7494362.24
Славянский бульвар;1273;4171528.545;7504582.432
Юго-Западная;388;4172524.243;7491677.302
Аминьевское шоссе;4780;4170540.642;7498303.851
Давыдково;1470;4169217.413;7501923.216
Кунцевская и Можайская;164;4168604.797;7504623.251
