taz_id;X;Y
80150;4231525.179;7507075.713
80151;4317830.485;7376864.514
80152;4437647.186;7490201.013
80153;4059650.94;7547769.871
80154;4215104.955;7490108.811
80155;4220586.49;7474732.859
80156;4097392.709;7425669.268
80157;4281881.133;7515369.408
80158;4124425.757;7477841.675
80159;4102532.826;7502929.616
80160;4339845.018;7520840.853
80161;4316950.54;7534016.329
80162;4178899.067;7432854.699
80163;4180553.038;7446142.972
80164;4151482.871;7455405.189
80165;4221056.33;7553367.652
80166;4257585.961;7443321.775
80167;4138175.114;7707610.518
80168;4235232.07;7551667.95
80169;4240964.351;7475167.418
80170;4250442.755;7584294.472
80171;4212653.411;7545582.107
80172;4180366.606;7460048.386
80173;4252378.793;7532872.694
80174;4211763.258;7424331.544
80175;4165221.068;7346313.306
80176;4186864.629;7328961.173
80177;4142689.497;7338792.388
80178;4161730.272;7544585.235
80179;4174671.107;7548695.898
80180;4214752.95;7511006.714
80181;4225079.317;7517937.094
80182;4212482.367;7484005.771
80183;4171039.015;7564208.296
80184;4272701.757;7563163.218
80185;4214922.646;7542236.999
80186;4007811.684;7461720.051
80187;4002842.613;7564554.5
80188;4028653.134;7550708.069
80189;4346049.191;7427251.696
80190;4342477.828;7356591.251
80191;4307759.11;7426833.639
80192;4322968.03;7421554.638
80193;4304246.85;7457157.36
80194;4286081.454;7456906.711
80195;4145551.065;7560141.907
80196;4143776.466;7565581.823
80197;4128686.769;7598233.313
80198;4401361.942;7480225.758
80199;4173398.776;7578211.376
80200;4168473.028;7589829.552
80201;4169103.126;7602908.818
80202;4155365.242;7613169.445
80203;4328489.123;7316538.21
80204;4102742.132;7541139.823
80206;4132792.376;7532423.213
80207;4260752.225;7322029.539
80208;4254103.609;7331899.914
80209;4067007.454;7625192.419
80210;4316864.75;7403221.634
80211;4133070.085;7534736.446
80212;4131054.742;7553553.449
80213;4150885.308;7523810.142
80214;4198794.544;7469270.012
80215;4204101.538;7462502.059
80216;4161292.992;7481869.951
80217;4231431.812;7495407.778
80218;4223202.067;7486447.116
80219;4226531.755;7480460.406
80220;4230988.584;7487718.699
80221;4110365.617;7468224.067
80222;4125157.758;7455643.074
80223;4096240.187;7437307.831
80224;4108854.412;7437817.104
80225;4026632.225;7434501.7
80226;4264730.604;7503829.942
80227;4245942.51;7518516.346
80228;4259628.484;7525738.694
80229;4279729.746;7530807.693
80230;4142512.505;7490237.198
80231;4163330.298;7496458.546
80232;4160073.007;7497139.687
80233;4152125.479;7497971.947
80234;4120820.656;7486531.49
80235;4112833.169;7477714.534
80236;4077016.351;7469241.362
80237;4126963.41;7467261.527
80238;4287418.928;7334470.138
80239;4323308.76;7506351.344
80240;4336570.87;7501491.031
80241;4331749.956;7474711.103
80242;4300459.487;7521409.792
80243;4303985.79;7514667.386
80244;4177004.907;7422512.22
80245;4217333.759;7586986.516
80246;4218980.249;7595411.213
80247;4219448.378;7578684.506
80248;4216171.626;7571071.123
80249;4222830.385;7570717.294
80250;4254989.64;7475366.085
80251;4234842.168;7485871.483
80252;4238711.922;7485155.898
80253;4237875.173;7489118.34
80254;4258252.808;7483541.236
80255;4059796.1;7477416.762
80256;4029517.388;7499273.362
80257;4224016.747;7607935.84
80258;4239877.955;7625952.336
80259;4246613.109;7633772.651
80260;4247170.123;7641179.235
80261;4256142.928;7645324.529
80262;4161834.257;7366032.405
80263;4142838.038;7357756.53
80264;4234618.973;7366525.771
80265;4243050.239;7383965.903
80266;4224393.552;7394037.84
80267;4186384.519;7665008.353
80268;4178148.959;7706846.596
80269;4189020.632;7703301.39
80270;4169404.541;7411131.622
80271;4169678.238;7390951.193
80272;3952135.886;7564304.704
80273;4249755.171;7526634.609
80274;4222793.688;7538252.844
80275;4206765.922;7552163.819
80276;3962845.993;7604733.728
80277;4064215.271;7644537.414
80278;4086540.349;7632618.842
80279;4254001.702;7655648.228
80280;4456252.992;7469369.361
80281;4404084.283;7389583.891
80282;4306183.331;7257915.696
80283;4241675.555;7346303.485
80284;4242858.131;7484251.379
80285;4426701.602;7504214.288
80286;3965090.596;7462036.853
80287;4121576.06;7570400.384
80288;4166407.977;7670390.119
80289;4195063.892;7544941.624
80290;4197693.436;7560209.693
80291;4251000.869;7503786.027
80292;4251030.481;7536556.963
80293;4274891.669;7590533.348
80294;4232333.851;7541957.054
80295;4214036.832;7560516.845
80296;4221068.846;7488263.619
80297;4137344.578;7479269.158
80298;4177630.922;7632256.539
80299;4386601.751;7356213.214
80300;4430046.238;7459491.285
80301;4005327.649;7583499.708
80302;3985536.142;7519583.585
80303;3999546.196;7540234.913
80304;4026081.627;7594808.547
80305;4023635.506;7564945.836
80306;3984709.446;7574619.813
80307;4306433.794;7442501.356
80308;4196515.184;7608686.637
80309;4144123.812;7630578.869
80310;4200195.639;7647704.073
80311;4377219.557;7419990.347
80312;4370739.389;7400265.409
80313;4381191.697;7446730.22
80314;4217261.921;7627750.819
80315;4238598.966;7649843.165
80316;4250406.185;7603960.595
80317;4223560.112;7670884.273
80318;4344762.953;7319587.93
80319;4311024.054;7321460.487
80320;4091142.061;7565949.238
80321;4088047.779;7548519.725
80322;4081103.192;7530464.318
80323;4096394.68;7533476.598
80324;4056421.019;7563184.819
80325;4119629.962;7519177.592
80326;4066124.603;7523405.89
80327;4128015.194;7525063.319
80328;4271176.316;7327946.799
80329;4107716.973;7629054.445
80330;4070949.039;7587449.547
80331;4054336.427;7602151.266
80332;4315916.664;7362209.745
80333;4292025.438;7370347.657
80334;4349191.011;7384163.326
80335;4292427.638;7398627.379
80336;4308247.43;7399535.119
80337;4331215.072;7388026.045
80338;4322776.455;7399354.444
80339;4141784.469;7512886.207
80340;4154686.821;7533765.513
80341;4189007.542;7467727.983
80342;4220975.023;7462882.973
80343;4169718.729;7463282.405
80344;4207661.406;7478556.784
80345;4202351.932;7474014.546
80346;4213976.178;7470299.757
80347;4355998.661;7350796.081
80348;4372690.003;7375205.091
80349;4356149.529;7363681.343
80350;4363988.722;7343742.944
80351;3999715.783;7445344.924
80352;3981883.727;7473063.372
80353;4005536.912;7484961.843
80354;4023764.287;7463110.141
80355;4183569.086;7573287.256
80356;4139227.027;7474486.561
80357;4113895.392;7449322.856
80358;4142506.707;7461682.455
80359;4277297.121;7506002.067
80360;4133975.095;7486279.631
80361;4138625.846;7501963.122
80362;4089303.025;7510091.331
80363;4109494.235;7493683.056
80364;4127126.735;7494964.942
80365;4085317.797;7488120.218
80366;4123284.823;7503079.713
80367;4102538.295;7483677.392
80368;4285599.506;7349712.249
80369;4374956.851;7498903.413
80370;4331895.784;7503052.408
80371;4321810.128;7475563.315
80372;4324562.283;7519773.672
80373;4366465.584;7476525.026
80374;4334002.368;7454560.032
80375;4341864.47;7483997.453
80376;4310410.399;7466189.721
80377;4303326.5;7491711.029
80378;4294669.609;7510198.377
80379;4133727.67;7424076.669
80380;4155449.151;7419098.958
80381;4148942.196;7444828.531
80382;4167815.967;7448097.208
